unix_timestamp,tof1
1790227981.6257904,1473,0,0,0
1790227981.8240786,1478,0,0,0
1790227982.0681767,1476,0,0,0
1790227982.2583477,1469,0,0,0
1790227982.4627326,1475,0,0,0
1790227982.683964,1472,0,0,0
1790227982.8769586,1469,0,0,0
1790227983.0665252,1474,0,0,0
1790227983.2902915,1479,0,0,0
1790227983.504906,1477,0,0,0
1790227983.7481077,1444,0,0,0
1790227983.9223537,1403,0,0,0
1790227984.121554,1357,0,0,0
1790227984.3428922,1314,0,0,0
1790227984.5697787,1316,0,0,0
1790227984.7943714,1314,0,0,0
1790227985.064244,1287,0,0,0
1790227985.1810286,1260,0,0,0
1790227985.3924894,1238,0,0,0
1790227985.6314268,1236,0,0,0
1790227985.7976344,1236,0,0,0
1790227986.036383,1225,0,0,0
1790227986.2024784,1214,0,0,0
1790227986.4136565,1200,0,0,0
1790227986.623083,1208,0,0,0
1790227986.824108,1212,0,0,0
1790227987.0342033,1211,0,0,0
1790227987.2487524,1211,0,0,0
1790227987.4560673,1211,0,0,0
1790227987.6994264,1208,0,0,0
1790227987.8655226,1212,0,0,0
1790227988.0850677,1212,0,0,0
1790227988.330403,1213,0,0,0
1790227988.5329914,1212,0,0,0
1790227988.6857173,1215,0,0,0
1790227988.885083,1214,0,0,0
1790227989.0836358,1219,0,0,0
1790227989.3059733,1219,0,0,0
1790227989.504915,1215,0,0,0
1790227989.7239654,1211,0,0,0
1790227989.9439814,1215,0,0,0
1790227990.1850958,1215,0,0,0
1790227990.3865588,1219,0,0,0
1790227990.6055553,1218,0,0,0
1790227990.8045754,1217,0,0,0
1790227991.0048227,1219,0,0,0
1790227991.226372,1219,0,0,0
1790227991.4446208,1221,0,0,0
1790227991.644925,1219,0,0,0
1790227991.8673384,1219,0,0,0
1790227992.0642588,1221,0,0,0
1790227992.3046114,1220,0,0,0
1790227992.5078268,1221,0,0,0
1790227992.704522,1221,0,0,0
1790227992.9065764,1221,0,0,0
1790227993.1255267,1220,0,0,0
1790227993.3247292,1219,0,0,0
1790227993.5709648,1220,0,0,0
1790227993.8292308,1217,0,0,0
1790227993.956816,1221,0,0,0
1790227994.1702497,1235,0,0,0
1790227994.3788195,1230,0,0,0
1790227994.6677568,1231,0,0,0
1790227994.8540058,1227,0,0,0
1790227995.0293465,1230,0,0,0
1790227995.2323184,1234,0,0,0
1790227995.4132922,1236,0,0,0
1790227995.6081207,1233,0,0,0
1790227995.8291104,1231,0,0,0
1790227996.0309272,1231,0,0,0
1790227996.2313862,1228,0,0,0
1790227996.448784,1230,0,0,0
1790227996.6715434,1226,0,0,0
1790227996.86826,1226,0,0,0
1790227997.0722387,1225,0,0,0
1790227997.3229804,1219,0,0,0
1790227997.5039186,1218,0,0,0
1790227997.7071648,1220,0,0,0
1790227997.908707,1204,0,0,0
1790227998.1273572,1210,0,0,0
1790227998.327061,1211,0,0,0
1790227998.5481548,1202,0,0,0
1790227998.7548177,1216,0,0,0
1790227998.9679434,1209,0,0,0
1790227999.190227,1213,0,0,0
1790227999.3875177,1211,0,0,0
1790227999.6162293,1210,0,0,0
1790227999.8073385,1216,0,0,0
1790228000.0069757,1224,0,0,0
1790228000.2274852,1224,0,0,0
1790228000.4275968,1225,0,0,0
1790228000.6505435,1224,0,0,0
1790228000.8554037,1227,0,0,0
1790228001.0674188,1225,0,0,0
1790228001.2878463,1241,0,0,0
1790228001.4873521,1236,0,0,0
1790228001.7095902,1239,0,0,0
1790228001.9108284,1240,0,0,0
1790228002.1278245,1245,0,0,0
1790228002.32787,1235,0,0,0
1790228002.546964,1237,0,0,0
1790228002.7676246,1232,0,0,0
1790228002.9707105,1229,0,0,0
1790228003.166692,1233,0,0,0
1790228003.4097064,1237,0,0,0
1790228003.6388094,1237,0,0,0
