unix_timestamp,yaw,pitch,roll
1790136506.8866587,-0.7,0.08,-0.32
1790136507.1061788,-0.7,0.08,-0.32
1790136507.3045194,-0.7,0.08,-0.32
1790136507.502148,-0.7,0.08,-0.32
1790136507.7223685,-0.7,0.08,-0.31
1790136507.9208436,-0.7,0.08,-0.31
1790136508.1456854,-0.7,0.08,-0.32
1790136508.3593316,-0.7,0.08,-0.32
1790136508.561231,-0.7,0.08,-0.32
1790136508.7612877,-0.7,0.08,-0.32
1790136508.963478,-0.7,0.08,-0.32
1790136509.1616488,-0.73,0.08,-0.31
1790136509.3626785,-0.74,0.08,-0.3
1790136509.5813587,-0.75,0.08,-0.3
1790136509.7818182,-0.75,0.08,-0.3
1790136510.0013463,-0.75,0.08,-0.3
1790136510.201902,-0.75,0.08,-0.31
1790136510.4246323,-0.75,0.08,-0.3
1790136510.6417131,-0.75,0.08,-0.31
1790136510.842508,-0.75,0.08,-0.31
1790136511.0434284,-0.75,0.09,-0.31
1790136511.2437708,-0.75,0.08,-0.3
1790136511.4617622,-0.75,0.08,-0.3
1790136511.6615574,-0.76,0.08,-0.29
1790136511.8638318,-0.72,0.08,-0.3
1790136512.0806606,-0.69,0.08,-0.29
1790136512.281378,-0.68,0.09,-0.29
1790136512.4830825,-0.67,0.08,-0.29
1790136512.7029488,-0.68,0.08,-0.29
1790136512.9088104,-0.68,0.09,-0.29
1790136513.1335614,-0.68,0.08,-0.3
1790136513.3217397,-0.68,0.08,-0.29
1790136513.5419338,-0.68,0.09,-0.29
1790136513.7413125,-0.68,0.09,-0.29
1790136513.9420042,-0.68,0.09,-0.29
1790136514.1619213,-0.68,0.08,-0.29
1790136514.3637755,-0.68,0.07,-0.29
1790136514.5810258,-0.68,0.08,-0.29
1790136514.7816036,-0.66,0.08,-0.29
1790136514.9888828,-0.64,0.09,-0.28
1790136515.2020376,-0.63,0.09,-0.28
1790136515.4018476,-0.63,0.09,-0.28
1790136515.602464,-0.63,0.09,-0.28
1790136515.8270419,-0.63,0.1,-0.28
1790136516.029138,-0.63,0.09,-0.28
1790136516.2249615,-0.63,0.09,-0.28
1790136516.425671,-0.63,0.09,-0.28
1790136516.6220126,-0.63,0.09,-0.28
1790136516.8223848,-0.63,0.09,-0.28
1790136517.04192,-0.63,0.08,-0.27
1790136517.2678483,-0.63,0.07,-0.26
1790136517.462382,-0.63,0.07,-0.26
1790136517.6815834,-0.63,0.07,-0.26
1790136517.8820758,-0.63,0.07,-0.26
