unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1790227981.5051544,-0.00369,0.01431,-1.00902,0.00262,0.00535,-0.00178
1790227981.5991979,-0.00507,0.01465,-1.00818,0.00306,0.0051,-5e-05
1790227981.7060475,-0.00452,0.01428,-1.00755,0.00154,0.00801,-0.00094
1790227981.8031833,-0.00371,0.01481,-1.00717,0.00184,0.00556,-0.00207
1790227981.928908,-0.0048,0.01248,-1.00798,0.00572,0.00745,0.00015
1790227982.0520813,-0.0047,0.01517,-1.00674,0.00358,0.00669,-0.0011
1790227982.1191697,-0.00414,0.01525,-1.00645,0.00204,0.00845,-0.00185
1790227982.2164955,-0.00362,0.01435,-1.00624,0.00236,0.00927,-0.00212
1790227982.3132746,-0.00289,0.01429,-1.00712,0.00429,0.00899,-0.00257
1790227982.4474115,-0.00655,0.01273,-1.00815,0.00357,0.00849,-0.00221
1790227982.5556018,-0.00296,0.01337,-1.00664,0.00138,0.011,-0.00349
1790227982.6732633,-0.00446,0.01354,-1.00738,0.00195,0.00895,-0.00204
1790227982.7247205,-0.006,0.01461,-1.00655,0.0048,0.00571,-0.00206
1790227982.8483362,-0.00314,0.0144,-1.00574,0.00266,0.00541,-0.0009
1790227982.9224043,-0.0049,0.0145,-1.00626,0.00457,0.00592,-0.00167
1790227983.0308776,-0.00447,0.0136,-1.00606,0.00158,0.00567,-0.00068
1790227983.1433215,-0.005,0.01501,-1.00772,0.00353,0.00856,-0.0007
1790227983.2480254,-0.00441,0.01422,-1.00767,0.00198,0.00992,-0.00099
1790227983.3516924,-0.00414,0.01453,-1.00702,0.00489,0.00829,-0.00062
1790227983.4866374,-0.00529,0.01478,-1.00724,0.00515,0.00686,-0.00242
1790227983.568279,-0.00383,0.0141,-1.00731,0.00342,0.00764,-0.00196
1790227983.7364154,-0.02165,0.15673,-1.00204,0.00031,-0.0023,0.05225
1790227983.7919328,0.01473,-0.08023,-1.00172,0.02647,0.00522,-0.00937
1790227983.8826532,0.02453,0.07653,-1.00841,-0.01081,0.0219,-0.03432
1790227983.9868033,-0.00406,0.0715,-1.00332,-0.00369,-0.00161,-0.03909
1790227984.1064832,-0.02055,-0.07897,-1.01433,0.01198,-0.00368,0.03623
1790227984.2051408,0.01599,0.11346,-1.00557,-0.01377,0.00139,-0.00047
1790227984.3115594,-0.02722,-0.06072,-1.00968,0.03169,-0.00317,-0.04133
1790227984.4184234,-0.00724,-0.04596,-1.00587,0.00177,0.00975,0.02989
1790227984.5427668,-0.00832,-0.00241,-1.00849,0.00384,0.01161,0.00624
1790227984.6577137,-0.0074,0.01991,-1.00755,0.00058,0.00968,-0.00887
1790227984.73019,-0.0026,0.00893,-1.00902,-0.00134,0.00925,-0.00367
1790227984.8347118,0.02645,0.1692,-1.00713,-0.00321,0.01222,-0.00233
1790227984.9417527,-0.04708,-0.07914,-0.99768,0.00711,-0.00378,-0.00737
1790227985.0655534,0.06656,0.04348,-1.00651,0.00059,0.01095,0.00343
1790227985.129083,0.03364,-0.09147,-1.00539,0.01075,0.01033,0.02705
1790227985.2540367,0.03795,0.06627,-1.0064,-0.00854,0.02075,-0.11841
1790227985.3443813,-0.03823,0.05386,-1.00614,0.00939,0.01115,0.00346
1790227985.449384,-0.00659,-0.04851,-1.0114,0.01267,0.00645,-0.11949
1790227985.5788357,-0.00721,0.0043,-1.0064,-0.00587,0.01664,0.02337
1790227985.6738596,0.00614,0.0161,-1.00741,0.00433,0.00569,0.00056
1790227985.769544,0.00625,0.01316,-1.00745,0.00245,0.00848,-0.0043
1790227985.9226637,-0.03004,0.09306,-1.0095,-0.00719,0.00092,0.08403
1790227986.0112355,-0.03796,-0.03991,-0.9975,0.01763,-0.00744,0.06268
1790227986.0662138,0.03023,-0.04841,-1.00492,-0.0134,0.01969,0.06964
1790227986.1678061,-0.07219,0.04462,-0.99905,0.00931,0.01481,0.00832
1790227986.2737572,0.04964,-0.01827,-1.0108,0.01691,0.01104,-0.01832
1790227986.4013805,0.02086,0.04403,-1.00526,0.00923,-0.00083,-0.04436
1790227986.4862976,-0.0838,-0.0153,-1.0008,0.00585,0.04254,-0.00089
1790227986.5822632,-0.00816,-0.04679,-1.00793,0.00381,0.00571,-0.04324
1790227986.6826901,0.00242,0.00294,-1.00706,0.00115,0.00876,-0.00571
1790227986.7849982,0.00132,0.01083,-1.00674,0.00082,0.00725,0.0026
1790227986.9143558,0.00714,0.01734,-1.00812,0.00224,-0.00067,-0.00571
1790227986.9847395,0.00435,0.10971,-1.00736,-0.00392,0.0134,0.06575
1790227987.0868697,-0.00924,0.01064,-0.99908,0.0342,-0.01328,-0.05428
1790227987.183487,0.02026,-0.07589,-1.00861,-0.01503,0.02604,-0.007
1790227987.3311958,-0.01517,0.15999,-1.00705,0.0157,-0.01138,-0.02188
1790227987.410345,-0.00922,-0.08627,-0.99884,0.01377,0.0202,-0.02149
