unix_timestamp,esc_data
1790227984.3773518,-3,3,5,-4,15223,19293,22382,4777,226680,226681,226683,226684,0,0,0,0
1790227984.4240549,-5,6,5,-6,15137,19390,22477,4678,226710,226711,226713,226714,0,0,0,0
1790227984.514571,-3,1,8,1,15052,19473,22590,4581,226740,226741,226743,226744,0,0,0,0
1790227984.5437758,-6,4,3,-3,14969,19565,22708,4489,226770,226771,226773,226774,0,0,0,0
1790227984.5813463,-3,2,5,-6,14879,19658,22836,4388,226800,226801,226803,226804,0,0,0,0
1790227984.6577137,3,10,8,-5,14776,19756,22962,4283,226830,226831,226833,226834,0,0,0,0
1790227984.673896,-9,-1,2,-7,14663,19848,23076,4179,226860,226861,226863,226864,0,0,0,0
1790227984.7364283,-11,-21,2,22,14470,19640,23231,4438,226890,226891,226893,226894,0,0,0,0
1790227984.7943714,-14,-27,27,22,14102,18967,23602,5336,226920,226921,226923,226924,0,0,0,0
1790227984.8397183,-18,-15,21,17,13657,18403,24190,5878,226950,226951,226953,226954,0,0,0,0
1790227984.8629484,-13,-4,20,5,13080,18059,24635,6228,226980,226981,226983,226984,0,0,0,0
1790227984.9417527,-8,-6,4,11,12764,17877,24943,6371,227010,227011,227013,227014,0,0,0,0
1790227985.0655534,-15,-25,19,27,12349,17021,25511,7313,227070,227071,227073,227074,0,0,0,0
1790227985.113611,-22,-19,26,15,11784,16412,26101,7899,227100,227101,227103,227104,0,0,0,0
1790227985.152195,-25,-8,13,8,11161,16048,26675,8181,227130,227131,227133,227134,0,0,0,0
1790227985.1946697,-20,-11,16,12,10568,15821,27116,8355,227160,227161,227163,227164,0,0,0,0
1790227985.2590373,-10,-12,14,23,10254,15534,27424,8659,227190,227191,227193,227194,0,0,0,0
1790227985.291977,-10,-11,9,15,10122,15226,27724,9181,227220,227221,227223,227224,0,0,0,0
1790227985.3552861,-16,-15,9,19,9850,14827,27912,9546,227250,227251,227253,227254,0,0,0,0
1790227985.4053295,-13,-11,24,16,9444,14422,28252,9955,227280,227281,227283,227284,0,0,0,0
1790227985.459539,-3,0,9,7,9020,14145,29115,10491,227340,227341,227343,227344,0,0,0,0
1790227985.523069,-2,2,6,-5,8977,14266,29317,10519,227370,227371,227373,227374,0,0,0,0
1790227985.6238806,-1,3,3,-3,8889,14337,29365,10418,227400,227401,227403,227404,0,0,0,0
1790227985.6314268,-4,5,-2,-10,8825,14422,29449,10360,227430,227431,227433,227434,0,0,0,0
1790227985.6738596,-2,1,-1,1,8761,14471,29506,10318,227460,227461,227463,227464,0,0,0,0
1790227985.7208428,-1,2,0,0,8727,14502,29536,10294,227490,227491,227493,227494,0,0,0,0
1790227985.770543,0,-4,5,1,8722,14511,29543,10292,227520,227521,227523,227524,0,0,0,0
1790227985.8169334,-1,-18,8,7,8698,14454,29594,10340,227550,227551,227553,227554,0,0,0,0
1790227985.9226637,-26,-17,22,31,8221,14145,29897,10799,227580,227581,227583,227584,0,0,0,0
1790227985.9449186,-23,-22,26,12,7675,13699,30490,11445,227610,227611,227613,227614,0,0,0,0
1790227986.0112355,-15,-15,19,12,7057,13306,31129,11849,227640,227641,227643,227644,0,0,0,0
1790227986.0646932,-10,-10,9,10,6374,12671,31795,12394,227700,227701,227703,227704,0,0,0,0
1790227986.1321473,-18,-15,24,15,6049,12300,32225,12796,227730,227731,227733,227734,0,0,0,0
1790227986.1678061,-14,-12,29,20,5576,11828,10,13202,227760,227761,227763,227764,0,0,0,0
1790227986.2227318,-19,-16,22,17,5047,11510,637,13589,227790,227791,227793,227794,0,0,0,0
1790227986.319022,-14,-12,15,15,4591,11136,1084,13961,227820,227821,227823,227824,0,0,0,0
1790227986.3310506,-8,-21,12,25,4335,10596,1391,14466,227850,227851,227853,227854,0,0,0,0
1790227986.4013805,-9,-10,14,17,4127,10151,1712,15050,227880,227881,227883,227884,0,0,0,0
1790227986.425053,-17,-16,13,6,3736,9687,2115,15412,227910,227911,227913,227914,0,0,0,0
